category,text
1,"Продам валенки . Размер 17. 
В идеальном состоянии. 500 руб."
1,"Продам кукморские валенки на резиновой подошве. Размер 26. 
В идеальном состоянии. 500 руб. Не анон."
1,"Компьютерное кресло в отличном состоянии, все механизмы работают, 1600 руб. Вятские Поляны, 89229528998, в лс."
1,"Краски осени 
Выставка поделок под таким названием была оформлена в конце октября в школе-интернате г.Малмыжа. 
На мероприятии представлено огромное количество творческих работ, выполненных ребятами с начала нового учебного года во всевозможных техниках: вышивка, вязание крючком и спицами, открытка, вазы, букеты, панно из крупы и яичных лотков, торцевание, аппликация, жгут, папье-маше из природного материала и из мокрой ткани и других. 
Участники смастерили из подручных материалов настоящие шедевры, проявив выдумку и талант. При этом ни одна работа не повторяется. 
Яркие и оригинальные поделки радуют детей, педагогов и работников школы своим многообразием, яркими и насыщенными красками, в очередной раз доказывая, что детские фантазии безграничны."
1,"Продам калину и шиповник,250р кг"
0,Здравствуйте друзья группы Почитай Малмыж. Нужно ли продолжение книги. Можете писать в личные сообщения.
1,"Газовая плита Гефест б.у 1 месяц.духовка неиспользовалась.цена 10тыс.
89195253911"
1,Детская кроватка с матрасом! Состояние отличное! Цена за все 1000₽ 89274444397
1,"Куплю колеса 175 / 65 r 14 зимние 
953 942 31 88"
0,"🤔🤔🤔Угадаешь что такое?!
(Ответ скину в теч.трех суток в комментарии)🤷‍♀️🤷‍♂️🤷‍♀️🤷‍♂️"
0,"Продаются системные блоки, ноутбуки, моноблоки, мониторы, TV приставки(бесплатные каналы),безлимитный wi fi модем, различных брендов. 
​Писать в личку или 89823935550 
- Полностью протестированы, подготовлены к работе. 
- Установлен свежий софт. 
- Оплата Нал/переводом 
- Доставка по городу и районам. 
- Гарантия 
************************************* 
Системные блоки 
1.Core i3 2100/2120/ 4gb ddr3/ 250gb hdd – 8490р 
2.Core i3 3220/3240/ 4gb ddr3/ 250gb hdd – 8990р 
3.Core i5 2400/2500/ 4gb ddr3/ 250gb hdd – 10490р 
4.Core i5 3470/3550/ 4gb ddr3/ 250gb hdd – 11490р 
5.Core i5 4440/4570/ 4gb ddr3/ 250gb hdd – 14490р 
**************************************** 
Игровые блоки 
i5-3470/8gb ddr3/250gb hdd/geforce gt330 2gb - 15500р 
i5-3470/8gb ddr3/250gb hdd/Radeon HD7570 2gb - 16500 
i5-3470/8gb ddr3/250gb hdd/Nvivdia K620 2gb - 17000р 
 
i5-2400/8gb ddr3/250gb hdd/geforce gt330 2gb - 14500р 
i5-2400/8gb ddr3/250gb hdd/Radeon HD7570 2gb - 15000 
i5-2400/8gb ddr3/250gb hdd/Nvivdia K620 2gb - 15500р 
°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°° 
Смарт TV Android приставка 
Свыше 200 бесплатных каналов 
Работает от любого интернета или wi fi. -3300р 
××××××××××××××××××××××××××××× 
Модем zte mf79ru 
Модем с раздачей wi fi 10 устройств. Полностью прошитый , работает с любой сим-картой. - 3500р 
°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°°° 
Мониторы 
17 дюим- 1400р 
19 кв дюим- 2000р 
19 дюим шир- 2500р 
20 дюим шир -3400р 
22 дюим шир-4300р 
************************************** 
Дополнительно; 
+4гб ОЗУ -1500р 
Комлект кабелей – 250р 
*************************************** 
Клавиатура/мышь – 700р (новый) 
SSD 120gb -2000р (новый) 
*************************************** 
--------— БОНУСЫ —------— 
-— На каждый ПК уже установлена операционная система Windows и пакет драйверов. 
-— Microsoft Office – установим В ПОДАРОК (по предварительной договоренности) 
_________________________________________________________ 
 
Звоните, пишите в личные сообщения, ответим на интересующие Вас вопросы!"
1,"Продают ли у нас  автомобили кроме автоваза в районе 60 000-70 000 рублей?
Анонимно"
1,"Кто нибудь продает ниву Шевроле? Только от собственника, в пределах 300 тысяч."
1,IP-TV приставка SML-292
1,Ваз 2110
1,"Мусульманское платье (бюрюзовое) 46 р, 600 р"
1,Продам мясо свинины 280 руб кг.
1,"#НАСЕЛЕННЫЕПУНКТЫ_МАЛМЫЖСКОГОКРАЯ

 В начале XIX века жители д. Большой Китяк решили найти исток речки Китячки. Поднявшись вверх по течению на 8 верст, они обнаружили источник, из которого брала свое начало речка. Он выходил из-под небольшого холма тремя ручьями, вода которых объединялась в одно русло. Источник был довольно сильным. Здесь вскоре появился починок, который позднее стали называть Каменный Ключ. 
 Первыми основателями починка были: Изеэргэ (маленький человек), Ошэргэ (белый человек), Кугоэргэ (большой человек) – Зайцевы, Поткины и Бажановы. Позднее появились Дусаевы. 
 В то время основным занятием населения были охота и рыболовство (в прозрачной воде в изобилии водилась щука). 
 В Списках населённых мест Вятской губернии 1802 года поч. Каменный Ключ входит в состав Кетятской волости Елабужского округа. В починке насчитывалось 4 двора. 
 В 1817 году Каменный Ключ был отнесен к Сардыбажской волости вновь образованного Малмыжского уезда. 
 В 1860 году прошло крещение населения д. Каменный Ключ. Тогда марийцы получили имена и фамилии. 
 Люди в деревне жили рослые и очень сильные: когда мужчины появлялись на базаре в Большом Китяке, многие специально ходили на них посмотреть. 
 По подворной переписи 1884 года в деревне числилось 13 дворов, в которых проживало 42 человека мужского пола и 60 – женского. 
 Основное занятие населения – лесной промысел, разводили коноплю. 
 С 1886 года в деревне открыта миссионерская школа, которая содержалась на средства комитета православного миссионерского общества. 
 По переписи населения 1926 года в деревне насчитывалось 200 жителей, которые проживали в 38 крестьянских хозяйствах. 
 В годы коллективизации в деревне была создана коммуна «Ключ». Председателем был назначен Т.И. Дусаев. Через год в результате неорганизованности колхоз распался. Позднее был организован новый колхоз с таким же названием. 
 В 30-е годы в деревне был открыт клуб."
1,Зимний комбинезон
1,"🙏🙏🙏Может, кто-нибудь знает, как работает в понедельник врач-терапевтТронина."
0,"Отдам , девочка"
1,Сниму квартиру или дом  на длительный срок  отпишусь аноним
1,"Продам мягкую мебель, диван с двумя креслами, чехлы в подарок, 10000 руб. Фото в личку. Анон."
1,"Продам детскую коляску 2 в 1, шезлонг в подарок. 4000 руб. Фото вышлю в личку. Анон."
0,"Выполняю задания студентам по курсу Инженерная графика"", частично из курса ""Начертательная геометрия"", а также разрабатываю 3D моделей в программе Компас 3D. (Анон)."
1,"Приключения маленькой собаки

Прошла неделя после той злополучной прогулки. Той прогулки, когда недальновидный водитель серебристой десятки сбил на светофоре нашего Митю.

Пёс однозначно нарушал - бегал суетливо и беспечно вдоль и поперёк дороги. Хозяева пса, то есть мы, нарушали - вывели семейство из двух детей и двух собак без поводков  (поводки здесь никому лишними не стали бы).

Прав был один только водитель серебристой десятки. Ехал с разрешенной скоростью на зелёный сигнал светофора. Вот только ситуацию не оценил, внимательнее не стал, на тормоз не нажал и с места происшествия удрал. Наверное, струсил. 

Митю с асфальта мы отковыряли, отыскали в пропащем городе Малмыже ветеринара, который помог обезболить плачущего пса. И стали ждать утра - доживет/не доживёт.

Наш маленький боец справился. Три дня в стационаре ""Маленького принца"", ещё три дня капельниц редкого дорогого лекарства, и Митя Лютый снова держит в страхе окрестности калининского Бристоля. 

Люди добрые,  будьте так любезны если вцепится в штаны вам наша зверушка,  не пинайте - он всё-таки жертва аварии, стряхните как-нибудь поласковее. 

Дорогой водитель серебристой десятки! Спится тебе, наверное, спокойно. Ты же ни в чем не виноват. А за бампером ты вернулся под покровом ночи от того, что растерялся. Пусть так. Но ты бы перевёл хоть половину суммы лечения Мити в группу помощи бездомным животным - тебе бы зачли в небесной канцелярии. 😉

А теперь благодарности. Мы живём в таком интересном месте, что только знакомства и выручают.  Спасибо семье Опариных и Максиму Арасланову за то, что откликнулись на помощь. Без профессионального вмешательства нам пришлось бы туго. 🙏🙏🙏И врачам вятскополянской клиники ""Маленький принц"" большое спасибо. Это, пожалуй,  единственное ближайшее место, где могут решить проблему, подобную нашей.🐶

Если кому-то срочно потребуется снять отёк мозга, L-лизина эсцинат у нас остался, а в аптеке только под заказ.😏

А маленькая собака не факт, что вообще поняла, что с ней приключилось.  Единственное, что ей стало ясно - большие и маленькие кожаные любят её, и Марта любит, хотя и кусает..."
1,Анон. Может у кого-то лежит без надобности  самонаборный штам.Куплю наподобие такого. Можно на две одну строчку.
1,"📌📌📌Из-за пандемии Роспотребнадзор продлил запрет на массовые мероприятия в школах до 1 января 2024 года. Соответствующее постановление подписал главный государственный санитарный врач Анна Попова.
 
Также в списке обязательных антиковидных мер, которые должны соблюдаться в образовательных учреждениях, остаются: 
 
- проверка температуры на входе в учебное заведение; 
- запрет на проведение массовых мероприятий с участием разных классов и групп. 
- изоляция детей и взрослых с признаками инфекционных заболеваний; 
- ежедневная уборка всех помещений с применением моющих и дезинфицирующих средств; 
- закрепление за каждым классом отдельного кабинета для обучения по всем предметам. 
 
При этом последнее требование не касается занятий, на которых необходимо использование специального оборудования, например, уроков физкультуры, рисования, физики, химии и труда. Также расписание занятий и перемен должно быть составлено таким образом, чтобы максимально минимизировать контакты между учащимися."
1,"❗В Кировской области не будут продлевать нерабочие дни в ноябре. 

Об этом заявил губернатор Игорь Васильев.

С 8 ноября школы, детские сады и другие учреждения Кировской области будут работать в штатном режиме. 

По словам Васильева, ситуация с заболеваемостью в регионе остается непростой, но тенденция к стабилизации наметилась. Также увеличиваются темпы вакцинации среди местного населения. 

Однако все меры по предотвращению распространения коронавируса, которые были утверждены ранее, продолжают своё действие. Работодателям всё ещё рекомендуется выводить сотрудников старше 65 лет на удаленный режим работы."
0,Продам
1,Ковёр т89127322595
1,"Куплю б/у шифер
89172987828"
0,Мебель
0,"Дорогие вятчане! 
 
Ещё не успел даже закончиться октябрь, а у нас на Вятке уже практически после обеда начинают сгущаться сумерки. Надо ли напоминать лишний раз о том, что ситуация с уличным освещением, особенно в отдалённых районах области, мягко говоря, далека от идеала? А ведь у многих из нас дети после школы остаются в группах продлённого дня, посещают музыкальные и спортивные школы, кружки и секции! И не всегда у родителей есть возможность отпрашиваться с работы, чтобы забрать своего ребёнка с занятий. Не у всех детей есть и бабушки-дедушки, которые могли бы это сделать за родителей. Прям сердце сжимается, как представишь, что твой ребёнок идёт один домой по тёмным закоулкам, подвергаясь всем возможным опасностям! То и дело в новостях мелькают сообщения об ограблениях, убийствах, развратных действиях в отношении детей, об их пропаже. И, как правило, 90% таких случаев происходит именно в вечернее время. Утром же, как правило, подавляющее большинство детей добирается до школ в сопровождении родителей, соответственно, таких преступлений совершается в разы меньше. 
 
Некоторые регионы Поволжья, в частности, Ульяновск и Саратов, которые, кстати, расположены западнее нас, перешли на час вперёд ещё 5 лет назад, тем самым вернули себе час естественного солнечного света, нагло украденный федеральной властью у всех россиян в конце 2014-го года. Ведь никаких опросов, в какой часовой зоне хочет жить каждый регион, тогда не проводилось, и на мнение людей просто наплевали в прямом смысле с высокой колокольни Кремля. 
 
А теперь перейдём к делу! 
 
На портале Российских общественных инициатив (РОИ) продолжается голосование за инициативу об изменении границ действующих часовых поясов (зон) в нашей стране, поскольку существующее положение вещей не учитывает особенности географического положения большинства регионов. Прямая ссылка на голосование: https://www.roi.ru/76431/ 
 
Автор данной инициативы предлагает перевести время в Кировской области и в некоторых соседних регионах на один час вперёд от нынешних значений в холодное время года, а в тёплое – даже на 2 часа вперёд! 
 
Почему перевод времени из UTC+3 в UTC+4/+5 (на час/два вперёд) так важен для нас? В 2013 году в аналитических материалах Роспотребнадзор заключил, что для населения Кировской области наиболее благоприятным необходимо считать ""летнее"" время (UTC+4). Важно отметить ещё и тот факт, что летом восход солнца в Кирове приходится на время, когда абсолютное большинство населения ещё спит (≈3 часов ночи), а светать начинает ещё раньше! Это, в свою очередь, негативно влияет на качество сна и выработку гормонов. Зимой же полная темнота наступает ранее 3 часов дня, то есть прямо в обеденное время! Разве это нормально?! 
 
Не надо бояться и отрыва от московского времени. 
Отдельным скептически настроенным гражданам хочется напомнить, что с 1 августа 2018 года весь междугородный транспорт во всех билетах на всей территории РФ указывает время отправления/прибытия согласно местным часовым поясам, вне зависимости от того, какое время сейчас в Москве. А топ-20 федеральных телеканалов перешли на вещание по местному времени в каждом отдельно взятом регионе с 25 декабря того же, 2018-го года. 
 
Чтобы внести свой голос в поддержку инициативы, Вам нужно перейти по ссылке: https://www.roi.ru/76431/, прокрутить в самый конец страницы, нажать на синюю ссылку авторизации через ЕСИА, затем ввести Ваши логин и пароль от Госуслуг (это защита от накруток со стороны недобросовестных пользователей), затем ещё раз прокрутить вниз и нажать на зелёный плюсик. 
 
И МАКСИМАЛЬНЫЙ РЕПОСТ ПО ВОЗМОЖНОСТИ! 
 
Также приглашаем всех наших единомышленников в группу, посвящённую борьбе за возврат украденных светлых вечеров: 
https://vk.com/perevodtimekirov 
 
P.S. Для наглядности прилагаем видео и таблицу-сравнение, какая ситуация сейчас и как могло бы быть в случае возврата украденного часа:"
1,"ВНИМАНИЕ! ПОМОГИТЕ НАЙТИ ЧЕЛОВЕКА! 
 
Пропал #Байгельдин Игорь Петрович. 
37 лет (1984 г.р.) 
Место пропажи: г. Кукмор, Республика Татарстан. 
Дата пропажи: 30 сентября 2021 года уехал на автомобиле в неизвестном направлении. 
Приметы: рост 183 см, нормального телосложения, волосы светлые, глаза голубые. 
Одежда: черная куртка, синие джинсы, синие кроссовки, черная кепка. 
 
Если у вас есть сведения, которые могут посодействовать поиску, позвоните на горячую линию 8 (800) 700-54-52 (звонок бесплатный)."
1,"Продам ВАЗ 2110, 2007 гв, всего 3 собственника, с родным пробегом 124 тыс км, в очень хорошем состоянии, европанель, дно пароги заводские без дыр и гнили, двигатель кпп и ходовая часть ведут себя на отлично!!! Также есть комплект хорошей зимней резины, хорошая музыка и сигнализация. В силу возраста есть рыжики на езду не влияет!!! Авто юридически без каких либо проблем, в ДТП не участвовал!!!
Кировская область, город Вятские Поляны
Цена 109 тр
89123708177 ватсап
Так же рассмотрю обмен!!!"
1,Кто продаёт комп не дорого анон
1,Куплю автомобиль ЛАДА ГРАНТА. ТЕЛ 89127203566
0,Продаются щенки хаски осталась 1девочки Цена 5000 . 89127089409 Вятские Поляны
1,Где в Малмыже можно отремонтировать обувь?
1,"Продам газовую плиту б,у 3 месяца.звонить 2-23-92 после 19.00"
0,"He анонимнo🙊
Доpoгиe дeвушки, в ближайшие даты проводится пoвышениe квaлификации (девочки работают с oпытoм!) нa cлeдующие пpoцедуры:
Hapaщивание pecниц oбъёмом 2д,
Hapaщиваниe ногтeй + мaникюp,
Пoкpытиe гeль-лaк + маникюp.
Дизaйн нa ваш выбор, но не сложный)
Процедypы буду проводиться ‼БЕСПЛАТНО‼и без оплаты расходников (просьба не переспрашивать ЦЕНУ)
СТРОГО от 16 лет!
ЗАПИСЬ В ЛС"
0,"ПОКУПАЮ АВТОМОБИЛЬНЫЕ КАТАЛИЗАТОРЫ И САЖЕВЫЕ ФИЛЬТРЫ Б/У, РАБОТАЮ С АНАЛИЗАТОРОМ ПОЭТОМУ ЦЕНЫ МАКСИМАЛЬНЫЕ!!! ТЕЛЕФОН 89226652727 ИЛИ В Л/С."
1,"Продам куртку для мальчика зимняя 
Рост 86см
1000р
Анон"
1,"Газовая плита Гефест б.у 1 месяц.новая.духовка неиспользовалась.цена 10т.р
89195253911"
1,Продам новые утеплённые брюки р. 52-54 1000 руб.
1,Отдам бесплатно
0,"У нас поступление:

⚡брус 50*100. Дисковый распил. Сорт 2. 
⚡наличник их сосны цельный (не клеёный).
⚡брус строганный сечением  45*45, 45*95. 
⚡доска строганая 20*95. 3 м. 
⚡ продукция из липы: вагонка, полога, наличники,  плинтуса, уголки 
⚡доска заборная хвоя НЕДОРОГО☝️
И многое другое

💰Расчет наличный/безналичный 
🚛 Доставка товара до места. 
📞8-912-370-1301 или пишите сообщения. 
🏠Кировская обл, Малмыжский р-он с.Калинино ул.Почтовая 10"
1,"Продам куртку-пальто. 2000р. Размер 42-44-46-48. На вешалке смотрится оверсайз, поэтому прикладываю фото на себе. Выше колена. Есть мех, пристёгивается молнией. Больше фото скину в ЛС. Анонимно пожалуйста."
1,"Продам фару левую на ваз2110, 2112! Новая! Продаю с ненадобностью! 
Цена 1699 кто купит завтра уступлю! 
Тел 89968963727"
1,"можеть кто знает, зубной Чукаева работает?"
1,"Куплю стул компьютерный
Анонимно"
0,"Отдам в добрые руки щенка(девочка), мама породистая хаски"
1,Детская коляска
1,Демисезонный плащ
1,Шуба
0,"В наличии. 
Мангал ,съемный,30*70.Цена 3000р.
Коптилка. Размеры 40*32. Цена 2700р.
Жаростойкая покраска.
Под заказ любой размер. 
Т.89871895727."
1,Литье р13 на ВАЗ. Цена 400р. Т. 89871895727.
1,Промывка теплообменников. Тел.89127350606
0,Продажа ванн званит по номеру 89960477315
0,"Продажа Ван 1,5 и 1 метров за 1,5 цена 9500 за 1метровую цена 9990 званит по номеру 89960477315"
1,"Утерян брелок от сигнализации 
Если кто то нашёл просьба позвонить по номеру 89123717836"
1,Анон. Куплю цыплят бройлера. (Живых)
0,"ОБЯЗАТЕЛЬНО ПРОЧТИТЕ И БЕРИТЕ НА ЗАМЕТКУ, проконсультируйтесь со специалистом. Информация от знакомых врачей, на случай если вы заболели ковидом и не хотите ехать в больницу или нет такой возможности! Так лечили наших знакомых, все закончилось хорошо, но не принимайте лекарства самовольно! Советуйтесь с врачами!
 
Ингавирин по 1 кaпcyлe кaждый дeнь 
Aзитрoмицин 500 мг 1 paз в дeнь 
Taваник(лeвофлоксaцин) 500 мг пo 1 тaблeтки 2 рaзa в день 
Acкоpутин пo 1 таблетке 3 разa в день 
Амбpоксoл по 1 таблетке 3 разa в день (при кaшлe) 
Oбильноe питье! 
 
Κлeкcaн - уколы в живот . Εсли будeт температурa бoлее 3-4 дней 
 
____ 
◉ Cимптoмы появляютcя c трeтьeго дня после зaрaжeния (симптoмы вируcа). 
 
 1 фаза; 
◉ боль в теле 
◉ боль в глaзax 
◉ голoвная бoль 
◉ рвотa 
◉ диaрея 
Ηacмopк или зaложeннoсть нoсa 
◉ pаcпaд 
◉ гopящие глаза 
◉ жжениe пpи мочеиспycкании 
◉ чувcтво лиxоpадки 
◉ Цаpaпины в горле (боль в гоpлe) 
 Oчeнь важно считaть дни появления симптомoв: 1-й, 2-й, 3-й. 
◉ Дeйствовать нyжно дo появления лиxорaдки. 
◉ Βниманиe, oчeнь важно пить много жидкoсти, оcoбeнно очищеннoй воды. Πейте мнoгo воды, чтобы coxранить cyxоcть в горле и oчистить легкие. 
____ 
 2 фaза; (с 4-гo по 8-й день) воcпалитeльный. 
 
◉ Πотеря вкyсa и \/ или запахa 
◉ Усталocть с минимальными усилиями 
◉ Бoль в гpуди (гpудная клетка) 
◉ cтeснeниe в гpуди 
◉ Боль в пояcнице (в oблacти пoчек) 
____ 
 Βиpуc пopажает нервныe oкoнчaния; 
◉ Рaзница междy ycтaлоcтью и oдышкой: 
• Oдышкa - это кoгдa чeловeк сидит - не пpилагaя никaких ycилий - и у нeго одышкa; 
• Уcталость - этo когдa челoвeк пытaетcя cделать чтo-то прocтoе и чувствуeт yсталoсть. 
____ 
 Ηeoбxодимо мнoгo жидкoсти и витаминa C. 
____ 
Соvid-19 cвязывaет киcлopoд, пoэтому качество крови плoхоe, кислоpoда меньшe. 
____ 
 3 фазa - исцeлeниe; 
◉ Ηa 9-й дeнь настyпaeт фазa заживления, кoтopая можeт длитьcя дo 14-го дня (выздoровлениe). 
◉ Ηе oткладывaйтe лечeниe, чем рaньше, тeм лучшe! 
____ 
 Βсем yдaчи! 
Лучшe соблюдать эти peкoмeндaции, профилaктики многo нe бываeт! 
 
• Πoсидите на cолнцe от 15 до 20 минут. 
• Отдыxaйте и cпите не мeнee 7-8 чaсов. 
• Πейтe полтopa литра воды в дeнь. 
• Βсe пpoдукты должны быть гopячими (не xoлoдными). 
 Oбратитe вниманиe нa тo, что pH коронaвирycа колеблeтся от 5,5 дo 8,5. 
Πoэтoму вcе, чтo нам нyжнo сдeлaть для уничтожения вирyса, - этo пoтрeблять бoльшe щелoчнoй пищи, пpeвышaющей кислотный yрoвень виpуcа. 
Tакиe кaк; 
◉ Бaнаны, зeленый лимoн → 9,9 рH 
◉ Желтый лимон → 8,2 pH 
◉ Aвокадо - 15,6 pH 
◉ Чecнок - 13,2 pН 
◉ Μaнгo - pH 8,7 
◉ Μандаpин - 8,5 pH 
◉ Ананac - 12,7 рН 
◉ Κpесс-салaт - 22,7 рH 
◉ Aпeльcины - 9,2 pН 
____ 
 Oткуда вы знaeтe, чтo y вaс Cоvid-19 ?! 
◉ зуд в гоpле 
◉ сyxocть в гoрлe 
◉ сyxoй кашель 
◉ Βыcокaя тeмпeратyра 
◉ затрудненное дыхaние 
◉ потeря зaпaxа и вкуca"
1,"анон! продам свежее копченое сало , 410 р/кг спасибо за публикацию"
0,"Куртка, Цена: 1 700 ₽"
1,"Работы по благоустройству прилегающей к водному объекту территории завершены.

Работы по благоустройству прилегающей к водному объекту территории - пруд в  рамках  федерального проекта «Формирование комфортной городской среды» нацпроекта «Жилье и городская среда"" завершены.
В соответствии с техническим заданием проведены работы по очистке береговой линии, креплению её габионами, проведён ремонт тротуаров и замена перильных ограждений, установлены лавочки и урны. 
Комиссией администрации Малмыжского городского поселения с участием Подрядчика - ИП Шленского М. В. и представителя строительного контроля И. В. Ожиганова проведена приемка работ в рамках заключенного муниципального контракта, проверены объёмы и  качество выполненных работ.
Согласно условий муниципального контракта, на все материалы и выполненные работы Подрядчиком установлен 3х - годичный  гарантийный период. ."
1,"Вниманию абонентов ПМК! 

02.11.2021  проводится хлорирование и промывка  водопроводных сетей, отходящих от  скважины  N 6063 и проходящих по ул. Энергетиков, Мелиораторов, пер. М. Гвардия, ул. М. Гвардия, Юбилейная, Строителей, часть ул. К. Маркса г. Малмыжа. 
На период хлорирования и промывки  водопроводной системы жителям указанных улиц рекомендуется ограничить потребление воды."
0,"🍁 🍂 🍁 НАРОДНЫЕ ПРИМЕТЫ НА 31 ОКТЯБРЯ 🍁 🍂 🍁 
 
- Если в день Луки снег не выпадет, то зима еще нескоро настанет. 
- Мутные звезды - к дождю. 
- Лошадь фыркает - к теплу, храпит - к ненастью. 
- Если домашние птицы хохлятся, то будет дождь. 
- Облака с севера на юг плывут - к солнечной погоде. 
- Бледный и мутный месяц - к снегу или дождю. 
- Корова против ветра морду поднимает - к дождливой погоде. 
- Если домашняя скотина скрипт зубами, то зима будет суровой. 
- Кошка пол царапает - к ветру. 
- Если в лесу слышен вой лисиц, то погода испортится. 
- Родившимся 31 октября дан дар целительства. Люди, рожденные в этот день, зачастую обладают творческими способностями и нередко становятся прекрасными художниками. Их талисманом является аквамарин. 
- В ночь с 30 на 31 октября приходят сны любви и наслаждений. Могут обещать и победы на амурном фронте. Сбываются в течение 15 дней…"
0,Еще одна Канализация под ключ
1,"Продам, размер кольца 18,5. анонимно)"
1,Куда в малмыже можно устроица уборщицей?
1,Коляска детская
1,"Всем привет, подскажите, где можно в Малмыже купить электрокоптильню?"
0,Полимерпесчаные кольца
